Mouvement,Gender,Index,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc,Vacc
1,0,11,1.64215,1.65544,1.66726,1.67096,1.65873,1.62741,1.59001,1.55885,1.53725,1.54826,1.55946,1.57094,1.58123,1.58934,1.59451,1.59483,1.58865,1.57626,1.5605,1.5484,1.54714,1.55565,1.56554,1.57487,1.58779,1.60073,1.61229,1.62623,1.62746,1.62135,1.6189,1.61356,1.60472,1.5976,1.59278,1.58913,1.58834,1.59261,1.6004,1.60761,1.61204,1.61467,1.61706,1.61787,1.61382,1.6051,1.59704,1.59075,1.58513,1.57922,1.57715,1.57777,1.57386,1.56549,1.56123,1.56229,1.56844,1.57864
1,1,12,1.6517,1.64093,1.62849,1.61353,1.5906,1.55542,1.50412,1.44713,1.38866,1.33553,1.29585,1.27141,1.27787,1.30779,1.3476,1.39165,1.43978,1.49135,1.54049,1.57593,1.60763,1.63223,1.64419,1.64836,1.64958,1.64883,1.64509,1.64702,1.65527,1.65182,1.64704,1.6368,1.6236,1.6168,1.61516,1.62317,1.63249,1.63094,1.63055,1.63021,1.62994,1.62521,1.61567,1.60621,1.59631,1.58166,1.55657,1.52179,1.48195,1.44163,1.40552,1.37672,1.35647,1.34934,1.35319,1.36479,1.38286,1.40455
1,1,13,1.47405,1.48128,1.48975,1.50124,1.51054,1.51541,1.52145,1.52578,1.53274,1.54061,1.53938,1.53397,1.53686,1.54717,1.56313,1.58256,1.59739,1.60688,1.61212,1.61464,1.61495,1.61423,1.61248,1.60882,1.60287,1.59382,1.57569,1.54624,1.50208,1.44894,1.38782,1.32295,1.26555,1.22281,1.25983,1.3061,1.35883,1.41377,1.46566,1.50659,1.53384,1.55065,1.5561,1.55211,1.54317,1.54454,1.55178,1.55808,1.55287,1.54465,1.54709,1.54501,1.54386,1.55154
1,1,14,1.59074,1.61388,1.63983,1.66562,1.68858,1.70753,1.72476,1.7404,1.74917,1.74824,1.73583,1.71753,1.70468,1.69514,1.68684,1.6802,1.67724,1.68079,1.69072,1.70425,1.70628,1.70698,1.7113,1.71036,1.70507,1.69847,1.69401,1.68761,1.6764,1.66182,1.64786,1.63714,1.62968,1.62351,1.6181,1.61558,1.61598,1.62682,1.64889,1.67836,1.71176,1.74713,1.77811,1.79279,1.78651,1.76959,1.75057,1.73275,1.71817,1.70428,1.68341,1.66016,1.64188,1.62763,1.61371,1.60029,1.59152,1.5887,1.58977,1.59577
1,1,15,1.24702,1.29219,1.34966,1.41469,1.48061,1.53334,1.56307,1.57663,1.57711,1.58044,1.58556,1.5849,1.59345,1.5908,1.57975,1.5627,1.54749,1.54422,1.55525,1.56623,1.57561,1.58108,1.58225,1.578,1.56361,1.53229,1.48538,1.42806,1.36579,1.30617,1.2549,1.25592,1.30098,1.35356,1.41215,1.47289,1.52254,1.55094,1.56296,1.5673,1.57426,1.58589,1.5939,1.59952,1.59956,1.59547,1.58869,1.57519,1.56232,1.56054,1.57043,1.58174
1,0,16,1.42156,1.39561,1.37552,1.3667,1.36819,1.37695,1.38941,1.40305,1.41908,1.4388,1.46035,1.48351,1.50713,1.52828,1.54709,1.56011,1.56445,1.56282,1.5612,1.56634,1.57716,1.59347,1.62472,1.63717,1.64386,1.66219,1.68249,1.69921,1.709,1.70834,1.71139,1.72748,1.74909,1.76753,1.78162,1.79385,1.80602,1.81814,1.82848,1.8351,1.8344,1.8258,1.81518,1.80742,1.80375,1.80421,1.81108,1.81672,1.80534,1.76936,1.71478,1.65211,1.58742,1.53114,1.48459,1.44801,1.41666,1.38512,1.35767,1.33815
1,0,17,1.51698,1.59335,1.64481,1.66995,1.67671,1.67108,1.66631,1.68285,1.70417,1.71392,1.69521,1.68268,1.68665,1.70012,1.71432,1.70867,1.68875,1.65195,1.60892,1.55184,1.49131,1.43177,1.37718,1.33147,1.27746,1.23522,1.21956,1.22467,1.25192,1.29355,1.34079,1.39209,1.45036,1.5009,1.52957,1.52771,1.51227,1.51007,1.52345,1.54824,1.57806,1.60419,1.6408,1.67242,1.67126,1.6794,1.69762,1.72869,1.76581,1.79713,1.82056,1.84453,1.84381,1.81699,1.78582,1.7542,1.73075,1.71822,1.71125,1.7189
1,0,18,1.65173,1.62868,1.60799,1.58956,1.57078,1.55606,1.54425,1.53508,1.52765,1.52445,1.52717,1.53399,1.54274,1.5531,1.56572,1.5789,1.58902,1.59439,1.59437,1.59137,1.58967,1.59158,1.59603,1.59293,1.58465,1.58519,1.58619,1.5729,1.56572,1.56508,1.5615,1.5614,1.56727,1.5779,1.59062,1.60346,1.61242,1.61761,1.61886,1.61731,1.61381,1.60769,1.59811,1.5874,1.57444,1.55382,1.52636,1.49652,1.46864,1.44648,1.43062,1.4238,1.43059,1.44779,1.46914,1.49197,1.51531,1.53907,1.56454,1.58901
1,1,19,1.5482,1.4608,1.37835,1.31186,1.26711,1.24502,1.22692,1.21521,1.22844,1.26709,1.32587,1.39113,1.4577,1.52336,1.58355,1.63034,1.65191,1.65945,1.66539,1.65775,1.65046,1.67456,1.6997,1.68332,1.69537,1.71216,1.70215,1.6846,1.66206,1.63691,1.59957,1.53646,1.45805,1.37584,1.31319,1.29432,1.27497,1.23802,1.2078,1.1949,1.19601,1.21248,1.23847,1.2708,1.31364,1.36178,1.41257,1.4491,1.45246,1.43913,1.42686,1.40798,1.39569,1.38981,1.40995,1.41103,1.40543,1.41693,1.44363,1.46388
1,0,20,1.51525,1.53748,1.55637,1.57413,1.58702,1.58517,1.57728,1.57019,1.57069,1.57148,1.57399,1.5797,1.58719,1.59363,1.59983,1.60994,1.61875,1.62574,1.63093,1.63561,1.63852,1.63936,1.63696,1.6306,1.62115,1.60886,1.58732,1.55274,1.50584,1.46561,1.44107,1.41689,1.39704,1.39206,1.39993,1.41654,1.4399,1.46951,1.50053,1.53176,1.56338,1.59519,1.6259,1.64473,1.64242,1.62545,1.60468,1.59793,1.58347,1.5748,1.56933,1.56873,1.56888,1.56688,1.56269,1.55208,1.52963,1.49626,1.45821,1.42841
1,1,21,1.69892,1.69206,1.68701,1.68537,1.68405,1.68334,1.68343,1.68274,1.67861,1.6671,1.64298,1.60686,1.5619,1.52092,1.49538,1.47813,1.46788,1.46525,1.47102,1.48572,1.50883,1.535,1.5628,1.59154,1.61551,1.63063,1.63907,1.64257,1.64468,1.6487,1.65486,1.66316,1.67064,1.67135,1.66288,1.65155,1.6474,1.64622,1.6488,1.64824,1.6415,1.63486,1.63088,1.62585,1.61782,1.60941,1.60052,1.59036,1.57759,1.56308,1.5488,1.53521,1.52271
1,0,22,1.57233,1.5295,1.48669,1.47696,1.50127,1.53346,1.5668,1.59445,1.61884,1.64242,1.66758,1.69494,1.71848,1.73446,1.74245,1.74561,1.74632,1.74874,1.75329,1.76002,1.74857,1.74116,1.74549,1.75061,1.7599,1.76444,1.76419,1.76064,1.75671,1.75311,1.74959,1.74803,1.74837,1.74346,1.72865,1.70171,1.65837,1.60442,1.55518,1.52204,1.5011,1.49348,1.49492,1.50058,1.5134,1.5326,1.55861,1.58904,1.61757,1.64064,1.65853,1.67343,1.686,1.69971,1.7151
1,0,23,1.5344,1.53887,1.55112,1.56317,1.56831,1.56957,1.57136,1.57461,1.57509,1.57205,1.56794,1.56359,1.55935,1.55572,1.54818,1.53212,1.5113,1.48881,1.46943,1.45072,1.4326,1.41951,1.41314,1.41186,1.41484,1.42265,1.43422,1.44484,1.45578,1.46821,1.47999,1.48966,1.49653,1.49903,1.49992,1.49924,1.49843,1.49417,1.48639,1.48053,1.48519,1.48245,1.48431,1.47988,1.47313,1.4786,1.49039,1.4979,1.49688,1.4897,1.48689,1.49386,1.50328,1.50661,1.50286,1.4963,1.48528,1.46703,1.43738,1.41335
1,1,24,1.58133,1.59838,1.61044,1.61324,1.6112,1.59811,1.60535,1.61521,1.62079,1.61823,1.62203,1.62901,1.63186,1.6294,1.62417,1.61921,1.6152,1.60918,1.60371,1.60154,1.5938,1.57986,1.55795,1.52624,1.48353,1.42994,1.37557,1.37735,1.41333,1.45482,1.49688,1.5327,1.55466,1.55985,1.55639,1.55744,1.56489,1.57747,1.5896,1.59932,1.60719,1.59688,1.60377,1.61517,1.61865,1.60967,1.60641,1.61144,1.61756,1.62005,1.6162,1.61004,1.60572,1.60088,1.59456,1.5909
1,1,25,1.5152,1.5489,1.57836,1.59179,1.583,1.57249,1.56336,1.56048,1.5641,1.554,1.56304,1.59658,1.6385,1.67023,1.69244,1.7157,1.73756,1.75463,1.76897,1.7818,1.79242,1.80154,1.80836,1.81039,1.80759,1.80309,1.80013,1.80108,1.80669,1.81813,1.8222,1.78389,1.71237,1.61909,1.53195,1.47163,1.42276,1.37322,1.33351,1.30767,1.29431,1.29131,1.30184,1.32599,1.35797,1.39429,1.43404,1.47551,1.52209,1.57667,1.62665,1.65331,1.65846,1.66408,1.67538,1.68542,1.69581,1.70992,1.72173,1.72775
1,0,26,1.30533,1.31031,1.313,1.30905,1.3006,1.28228,1.25611,1.23246,1.20564,1.17419,1.14208,1.11047,1.08964,1.07961,1.07071,1.06789,1.06836,1.07481,1.08882,1.10596,1.12122,1.13963,1.16643,1.19713,1.22641,1.252,1.27223,1.28723,1.30144,1.30921,1.30915,1.30739,1.31942,1.33184,1.32937,1.30949,1.29034,1.28703,1.2903,1.29487,1.30431,1.31779,1.33058,1.33751,1.33815,1.34216,1.34805,1.35039,1.34936,1.34502,1.33974,1.33582,1.3299,1.32349,1.32157,1.31623,1.30691,1.28951,1.25581,1.21344
1,1,27,1.57274,1.51836,1.45532,1.38929,1.32595,1.27577,1.23774,1.2072,1.18879,1.18129,1.18478,1.2007,1.22747,1.26547,1.31467,1.37187,1.42927,1.47874,1.52006,1.55799,1.58828,1.61968,1.64841,1.67406,1.69034,1.68521,1.68289,1.68197,1.69359,1.7093,1.71648,1.70614,1.69187,1.69048,1.68474,1.67947,1.68548,1.68774,1.67869,1.67005,1.6651,1.65887,1.65009,1.63554,1.6163,1.58503,1.53086,1.46091,1.38489,1.31042,1.2434,1.1892,1.15169,1.12498,1.116,1.12408,1.14676,1.18119,1.22515,1.27897
1,1,28,1.51484,1.51755,1.52638,1.53787,1.54889,1.55609,1.54905,1.5248,1.49883,1.48078,1.4712,1.47196,1.48357,1.4825,1.45482,1.45186,1.47735,1.51051,1.53784,1.556,1.57126,1.58189,1.59105,1.60179,1.6143,1.62841,1.64248,1.65512,1.66645,1.67637,1.68232,1.68597,1.6877,1.68733,1.68264,1.66907,1.63971,1.58762,1.52249,1.4571,1.40827,1.39045,1.38536,1.37582,1.37712,1.39466,1.43329,1.48341,1.53173,1.5799,1.61124,1.64269,1.66972,1.68089,1.67893,1.66496,1.66309,1.6711,1.69145,1.66483
1,1,31,1.28164,1.21256,1.16918,1.13809,1.11962,1.11792,1.13338,1.16716,1.21492,1.27406,1.34176,1.41486,1.48641,1.54814,1.60022,1.64477,1.6753,1.69706,1.71454,1.69405,1.63234,1.61598,1.61816,1.57799,1.57222,1.56269,1.54651,1.49581,1.41985,1.3463,1.27142,1.214,1.17289,1.13916,1.11337,1.10378,1.12142,1.16081,1.20843,1.25763,1.30251,1.35045,1.406,1.45626,1.50238,1.57319,1.64465,1.67227,1.63118,1.59479,1.52946,1.50535,1.47449,1.46477,1.48586,1.51732,1.54597,1.5809,1.61731,1.65459
1,0,32,1.39773,1.41212,1.42536,1.44161,1.45809,1.47129,1.48431,1.50123,1.52939,1.54685,1.54246,1.54733,1.55582,1.5602,1.56456,1.57647,1.59019,1.60124,1.61092,1.61928,1.62715,1.63307,1.63416,1.63241,1.63007,1.6275,1.62526,1.62304,1.61851,1.6105,1.60128,1.59242,1.58334,1.56957,1.54364,1.50193,1.44503,1.37948,1.32358,1.27741,1.24823,1.2364,1.23173,1.23002,1.23565,1.25186,1.27363,1.29762,1.32484,1.35577,1.38991,1.42675,1.46232,1.49417,1.51953,1.53887,1.55793,1.57784,1.59919,1.61993
1,1,33,1.64961,1.64824,1.64598,1.64643,1.64939,1.65383,1.65775,1.6598,1.66134,1.66309,1.66506,1.66606,1.66486,1.66326,1.66357,1.66246,1.66068,1.66088,1.66287,1.66063,1.65137,1.63817,1.6257,1.61295,1.59569,1.5659,1.5204,1.4717,1.42537,1.40498,1.4084,1.40986,1.41003,1.41356,1.42245,1.43135,1.43698,1.44128,1.44745,1.45608,1.46721,1.48116,1.49803,1.51514,1.53129,1.55453,1.5856,1.61192,1.62768,1.63606,1.64306,1.64951,1.66248,1.68134,1.69027,1.68092,1.67215,1.66275,1.65633,1.62324
1,0,34,1.54388,1.51208,1.48868,1.47719,1.46904,1.45606,1.44591,1.44176,1.4475,1.45769,1.46985,1.48362,1.50037,1.52207,1.54803,1.57462,1.60243,1.63243,1.66239,1.68734,1.70445,1.71777,1.72518,1.71006,1.6732,1.64696,1.6476,1.63804,1.60611,1.607,1.60645,1.60836,1.61499,1.6266,1.64092,1.65243,1.66368,1.67606,1.68766,1.69574,1.69763,1.69345,1.68598,1.67671,1.66617,1.65167,1.63714,1.62826,1.62138,1.6143,1.60399,1.58838,1.56903,1.54913,1.52619,1.50086,1.47267,1.44689
1,0,35,1.68689,1.67425,1.66183,1.66163,1.65799,1.64985,1.63902,1.631,1.63242,1.63954,1.64967,1.66197,1.67682,1.69346,1.71175,1.72638,1.73591,1.74532,1.75715,1.77492,1.79595,1.81228,1.81117,1.79293,1.7566,1.71039,1.67679,1.64826,1.62265,1.60922,1.61001,1.62072,1.63922,1.659,1.67426,1.68683,1.69998,1.71071,1.71611,1.71266,1.697,1.67915,1.67689,1.68394,1.67127,1.63676,1.59993,1.59382,1.61151,1.61958,1.61847,1.6328,1.66689,1.69929,1.72289,1.74499,1.767,1.78472,1.79672,1.80345
1,1,36,1.18104,1.22634,1.27787,1.32877,1.376,1.42531,1.45764,1.47489,1.49657,1.50726,1.50189,1.49573,1.49899,1.50132,1.49934,1.49378,1.48905,1.48348,1.47418,1.46486,1.46279,1.46995,1.46755,1.46476,1.46412,1.46587,1.46894,1.47491,1.48202,1.48652,1.48929,1.4889,1.48499,1.47742,1.46967,1.46449,1.46211,1.46028,1.45714,1.45364,1.44426,1.42143,1.3839,1.33666,1.2853,1.23204,1.16514,1.16061,1.21491,1.2756,1.33664,1.39791,1.43872
1,1,37,1.80894,1.80327,1.79538,1.78535,1.77101,1.75047,1.72836,1.71135,1.70135,1.69644,1.69581,1.698,1.69988,1.70175,1.7031,1.70258,1.6972,1.68144,1.65081,1.61492,1.586,1.56635,1.54871,1.53099,1.51645,1.50591,1.49739,1.49084,1.48813,1.48825,1.49027,1.4937,1.49787,1.50363,1.51288,1.5276,1.54728,1.56862,1.59079,1.60601,1.60169,1.58742,1.57178,1.56156,1.56487,1.5783,1.58149,1.5652,1.5616,1.58499,1.63412,1.67999,1.70503,1.72229,1.73427,1.74531,1.75569,1.76291,1.76537,1.76488
1,1,38,1.66587,1.65686,1.63755,1.62706,1.62447,1.61793,1.61811,1.63093,1.64758,1.66385,1.68221,1.69536,1.70093,1.70302,1.70516,1.70865,1.70832,1.70575,1.70255,1.69637,1.68828,1.67965,1.6722,1.66835,1.66568,1.65947,1.6439,1.62033,1.58603,1.54955,1.51418,1.47804,1.43922,1.40312,1.36698,1.33143,1.29928,1.31476,1.3317,1.3531,1.37926,1.41134,1.44718,1.48734,1.53138,1.57443,1.61075,1.63815,1.65523,1.6578,1.64601,1.63194,1.62149,1.61183,1.60781,1.60789
1,1,39,1.77233,1.81023,1.8401,1.83815,1.81294,1.79268,1.77734,1.76389,1.74965,1.73465,1.71762,1.70263,1.69072,1.68555,1.68168,1.68094,1.68845,1.71073,1.75006,1.78787,1.76857,1.71311,1.65836,1.60815,1.56553,1.52142,1.47219,1.43202,1.39527,1.36619,1.34135,1.32397,1.31886,1.32768,1.34853,1.38101,1.42231,1.46175,1.48663,1.50628,1.52159,1.53765,1.55768,1.57725,1.59966,1.62209,1.64139,1.66084,1.66781,1.66244,1.67672,1.68189,1.66652,1.63942,1.62216,1.6258,1.64195,1.65919,1.67626,1.69041
1,0,40,1.70855,1.70112,1.6997,1.71267,1.71136,1.70994,1.71158,1.71376,1.71971,1.72595,1.73636,1.74809,1.75542,1.75751,1.75697,1.75285,1.74562,1.73357,1.70846,1.66217,1.58857,1.4926,1.40072,1.32767,1.27855,1.24538,1.25983,1.30808,1.36435,1.42136,1.4774,1.53784,1.60044,1.66219,1.71051,1.73717,1.74292,1.73523,1.7294,1.73511,1.74144,1.75142,1.76303,1.76548,1.75513,1.74661,1.74053,1.73595,1.73752,1.74434,1.75271,1.75959,1.76252,1.75958,1.75255,1.74196,1.72667,1.70678
1,0,42,1.47426,1.44297,1.41803,1.4007,1.38559,1.37265,1.36416,1.36218,1.37007,1.38802,1.4093,1.42915,1.4489,1.47068,1.49302,1.51358,1.53216,1.54976,1.56466,1.57391,1.57946,1.57188,1.55116,1.539,1.53303,1.52089,1.50905,1.50514,1.50364,1.50314,1.50552,1.51011,1.51585,1.52291,1.53111,1.53856,1.5431,1.5452,1.54545,1.54451,1.54174,1.53692,1.5305,1.52072,1.50388,1.48051,1.44911,1.41313,1.38224,1.36528,1.35695,1.35723,1.36858,1.38706,1.40453,1.42088,1.44065,1.46469,1.49108,1.5172
1,1,43,1.75039,1.7424,1.73573,1.73891,1.7527,1.76694,1.77434,1.7715,1.76796,1.77473,1.78058,1.76956,1.75117,1.73137,1.73107,1.737,1.74681,1.74934,1.74748,1.7313,1.69257,1.63645,1.55695,1.44982,1.35003,1.26802,1.23356,1.2621,1.31637,1.37476,1.43093,1.4792,1.52998,1.58321,1.62557,1.65192,1.66792,1.67594,1.66705,1.66964,1.67782,1.68797,1.65976,1.65827,1.68738,1.72266,1.7359,1.73423,1.72696,1.71213,1.69947,1.68208,1.66925,1.63958
1,0,44,1.56202,1.55871,1.56076,1.5557,1.54996,1.5571,1.5555,1.55151,1.55243,1.56074,1.5688,1.57744,1.59354,1.61149,1.62974,1.64623,1.66044,1.67227,1.68223,1.68986,1.69422,1.69477,1.69265,1.68962,1.68461,1.68124,1.67712,1.66985,1.66,1.65001,1.64272,1.63461,1.61705,1.58483,1.54305,1.49874,1.45649,1.41634,1.37792,1.34704,1.33871,1.3509,1.37227,1.39936,1.43136,1.46912,1.51288,1.55669,1.59897,1.6456,1.69189,1.72078,1.72294,1.71098,1.69228,1.6821,1.66253,1.64421,1.63145,1.62629
1,1,45,1.62111,1.60902,1.58444,1.53816,1.47724,1.40825,1.35023,1.31117,1.28245,1.26709,1.26997,1.28361,1.30622,1.33676,1.37246,1.41103,1.4528,1.49607,1.53581,1.56098,1.5715,1.57944,1.59132,1.6112,1.63156,1.65171,1.66511,1.66878,1.67395,1.66674,1.64853,1.64285,1.64549,1.65024,1.6605,1.66693,1.67035,1.67164,1.67161,1.67244,1.67332,1.66952,1.66033,1.65328,1.64832,1.64123,1.632,1.61815,1.5978,1.56693,1.51907,1.46747,1.41897,1.382,1.36011,1.34504,1.34189,1.34581,1.35398,1.36708
1,0,46,1.6833,1.69429,1.70322,1.71179,1.71798,1.71754,1.71655,1.72446,1.73062,1.73243,1.72952,1.72841,1.72663,1.72653,1.7291,1.73112,1.73083,1.72945,1.73072,1.73303,1.73325,1.7294,1.72143,1.7043,1.67007,1.61787,1.57287,1.53728,1.50833,1.48859,1.47931,1.48367,1.4944,1.50643,1.52533,1.55257,1.58748,1.62347,1.65207,1.67567,1.69589,1.7128,1.73136,1.75252,1.75471,1.72676,1.72816,1.72149,1.72365,1.73052,1.72117,1.71152,1.70772,1.70958,1.70836,1.69971,1.67916,1.64398,1.60411,1.56606
1,0,47,1.62995,1.63495,1.63926,1.64187,1.6444,1.64464,1.64121,1.63425,1.62554,1.60812,1.5806,1.55341,1.53301,1.51826,1.50277,1.48972,1.47863,1.47151,1.4714,1.4758,1.48398,1.49247,1.49995,1.50312,1.50057,1.49804,1.50223,1.5099,1.51378,1.51373,1.51552,1.52304,1.52991,1.52907,1.52615,1.52514,1.52816,1.52922,1.52459,1.51645,1.5167,1.50948,1.5059,1.50427,1.50332,1.51092,1.52603,1.53598,1.53828,1.53896,1.54174,1.54654,1.55057,1.55199,1.55048,1.54768,1.54404,1.53691,1.51774,1.47998
